HuMAP3_ID,ComplexConfidence,Uniprot_ACCs,genenames
huMAP3_00170.1,1,Q6P2I3 Q96GK7,FAHD2B FAHD2A
huMAP3_00171.1,1,Q8TAC1 P06239,RFESD LCK
huMAP3_00172.1,1,P49419 Q15834 P0C1Z6,ALDH7A1 CCDC85B TFPT
huMAP3_00173.1,1,Q6VY07 Q86VP3 Q969E1 Q9Y2I8,PACS1 PACS2 LEAP2 WDR37
huMAP3_00174.1,1,Q96DR7 A1L4L8,ARHGEF26 PLAC8L1
huMAP3_00175.1,1,Q9BTK6 O14607,PAGR1 UTY
huMAP3_00176.1,1,Q96A46 Q15116,SLC25A28 PDCD1
huMAP3_00177.1,1,Q70Z53 P20292,FRA10AC1 ALOX5AP
huMAP3_00178.1,1,P08185 P08697 P02656 P19827 Q5VVX9 P02753 P0DJI9 P35542 P01031,SERPINA6 SERPINF2 APOC3 ITIH1 UBE2U RBP4 SAA2 SAA4 C5
huMAP3_00179.1,1,Q32MZ4 Q9NYL9,LRRFIP1 TMOD3
huMAP3_00180.1,1,Q6XQN6 Q9UI08,NAPRT EVL
huMAP3_00181.1,1,Q8WUT9 Q01664,SLC25A43 TFAP4
huMAP3_00182.1,1,P0CF97 Q8TCP9,FAM200B FAM200A
huMAP3_00183.1,1,O75346 O00507 Q6P3X8 Q5TGI0,ZNF253 USP9Y PGBD2 FAXC
huMAP3_00184.1,1,Q13432 Q96DX4 O76083 O95238 Q13237 Q5T686 Q969K3 Q96QS6 Q9ULE6 Q717R9,UNC119 RSPRY1 PDE9A SPDEF PRKG2 AVPI1 RNF34 PSKH2 PALD1 CYS1
huMAP3_00185.1,1,Q9NP59 Q9UBM1,SLC40A1 PEMT
huMAP3_00186.1,1,Q96N38 Q9UK11,ZNF714 ZNF223
huMAP3_00187.1,1,Q9BXJ3 Q15848,C1QTNF4 ADIPOQ
huMAP3_00188.1,1,P54725 P54727,RAD23A RAD23B
huMAP3_00189.1,1,Q8N5H7 P56945,SH2D3C BCAR1
huMAP3_00190.1,1,Q0D2I5 Q13426 Q5TF58 P49917,IFFO1 XRCC4 IFFO2 LIG4
huMAP3_00191.1,1,Q9BZL4 P20849,PPP1R12C COL9A1
huMAP3_00192.1,1,P53673 Q9NQB0 Q05BV3,CRYBA4 TCF7L2 EML5
huMAP3_00193.1,1,O94806 Q15139 Q9BZL6,PRKD3 PRKD1 PRKD2
huMAP3_00194.1,1,Q9Y4B4 Q15652 Q9H2X6 Q15274,RAD54L2 JMJD1C HIPK2 QPRT
huMAP3_00195.1,1,O43174 Q9BQ31,CYP26A1 KCNS3
huMAP3_00196.1,1,O75310 P36537 Q9BY64,UGT2B11 UGT2B10 UGT2B28
huMAP3_00197.1,1,P08621 Q13595,SNRNP70 TRA2A
huMAP3_00198.1,1,P40199 Q5T655 Q8IYF1,CEACAM6 CFAP58 ELOA2
huMAP3_00199.1,1,Q9UIC8 Q8IYX4,LCMT1 DND1
huMAP3_00200.1,1,Q8NAN2 Q9NRY2,MIGA1 INIP
huMAP3_00201.1,1,Q7L8J4 Q9NWX6,SH3BP5L THG1L
huMAP3_00202.1,1,Q8NFI3 Q9UK99 P15586,ENGASE FBXO3 GNS
huMAP3_00203.1,1,P56937 Q96D31 Q8TBF5,HSD17B7 ORAI1 PIGX
huMAP3_00204.1,1,Q96FE7 P31213,PIK3IP1 SRD5A2
huMAP3_00205.1,1,Q7LDG7 Q8WY91 P13716,RASGRP2 THAP4 ALAD
huMAP3_00206.1,1,P28370 Q96KM6 Q6NUJ5 Q09028 Q12830,SMARCA1 ZNF512B PWWP2B RBBP4 BPTF
huMAP3_00207.1,1,Q9P270 Q9Y6A5 P50552 Q8N8S7 Q969T9 Q15942,SLAIN2 TACC3 VASP ENAH WBP2 ZYX
huMAP3_00208.1,1,P30411 P08476 Q71RC9 Q9NU53 O94923,BDKRB2 INHBA SMIM5 GINM1 GLCE
huMAP3_00209.1,1,P35658 Q9UBU9,NUP214 NXF1
huMAP3_00210.1,1,Q9Y2D5 P13861 P31323 Q5VU43 Q86UN6 P24588 Q15506 Q99996 P11137,PALM2AKAP2 PRKAR2A PRKAR2B PDE4DIP AKAP14 AKAP5 SPA17 AKAP9 MAP2
huMAP3_00211.1,1,Q9UK32 Q9UJX0,RPS6KA6 OSGIN1
huMAP3_00212.1,1,Q6S545 Q6S5H5 Q6S8J7,POTEH POTEG POTEA
huMAP3_00213.1,1,Q9BPW8 Q9NSE4 Q08257 Q16822,NIPSNAP1 IARS2 CRYZ PCK2
huMAP3_00214.1,1,P17181 P01574,IFNAR1 IFNB1
huMAP3_00215.1,1,P0C7T5 Q99592 Q96RK0,ATXN1L ZBTB18 CIC
huMAP3_00216.1,1,Q86TI0 P0C7U0 Q5R3F8,TBC1D1 ELFN1 ELFN2
huMAP3_00217.1,1,Q96JM4 Q8IZJ1,LRRIQ1 UNC5B
huMAP3_00218.1,1,O75106 P22083 Q16853,AOC2 FUT4 AOC3
huMAP3_00219.1,1,Q6GMV1 Q3MIN7,SPECIALin_UniProt_but_no_gene RGL3
huMAP3_00220.1,1,Q8NDC4 Q9P242,MORN4 NYAP2
huMAP3_00221.1,1,Q5T5P2 Q8N684,KIAA1217 CPSF7
huMAP3_00222.1,1,P49257 Q8NI22,LMAN1 MCFD2
huMAP3_00223.1,1,P51636 Q03135,CAV2 CAV1
